Date,Time,Species,Sex,Length ,Location,Tag
5/4/2021,PM,LS,M,800,RWC,
7/7/2021,AM,SVN,F,460,RWC,
7/7/2021,AM,LS,M,540,RWC,2602
7/8/2021,AM,LS,F,620,RWC,2604
7/8/2021,AM,LS,F,320,RWC,
7/8/2021,AM,BR,M,450,RWC,
7/8/2021,PM,LS,F,300,RWC,
7/8/2021,PM,LS,F,335,RWC,
7/8/2021,PM,BR,F,290,RWC,
7/8/2021,PM,BR,M,420,RWC,
7/9/2021,AM,LS,M,420,RWC,
7/9/2021,PM,BR,F,320,RWC,
7/9/2021,PM,BR,M,700,RWC,
7/9/2021,PM,BR,M,420,RWC,
7/12/2021,AM,BR,M,440,RWC,
7/12/2021,AM,BSH,M,,RWC,
7/12/2021,PM,BR,F,395,RWC,
7/14/2021,AM,BR,F,,RWC,
7/14/2021,AM,BR,F,,RWC,
7/14/2021,PM,BR,M,300,RWC,
7/14/2021,PM,BR,F,390,RWC,
7/14/2021,PM,BR,F,390,RWC,
7/14/2021,PM,BR,M,340,RWC,
7/14/2021,PM,BR,F,340,RWC,
7/14/2021,PM,BR,M,420,RWC,
7/14/2021,PM,BR,M,330,RWC,
7/14/2021,PM,BR,M,350,RWC,
7/14/2021,PM,BR,F,310,RWC,
7/14/2021,PM,BSH,M,680,RWC,
7/14/2021,PM,BSH,F,270,RWC,
7/13/2021,PM,BSH,F,,RWC,
7/13/2021,PM,BR,M,,RWC,
7/13/2021,PM,BR,M,,RWC,
7/13/2021,PM,BR,M,,RWC,
7/13/2021,PM,BR,M,,RWC,
7/13/2021,PM,BR,M,,RWC,
7/13/2021,PM,BR,M,,RWC,
7/13/2021,PM,BR,M,,RWC,
7/13/2021,PM,BR,M,,RWC,
7/13/2021,PM,BR,M,,RWC,
7/13/2021,PM,BR,F,,RWC,
7/13/2021,PM,BR,F,,RWC,
7/13/2021,PM,BR,F,,RWC,
7/13/2021,PM,BR,F,,RWC,
7/13/2021,PM,LS,F,,RWC,
7/13/2021,PM,LS,M,,RWC,
7/13/2021,PM,LS,M,,RWC,
7/13/2021,PM,LS,M,,RWC,
